image_name,actual,prediction,confidence,reason
CH_01_BIZ_071.jpg,Real,Real,0.19,"The visual/template consistency, language quality, and factual plausibility all align with professional news outlet standards."
CH_01_BIZ_079.jpg,Real,Real,0.27,"The visual/template consistency, language quality, and factual plausibility all align with professional news outlet standards."
CH_01_BIZ_111.jpg,Real,Real,0.32,"The visual/template consistency, language quality, and factual plausibility all align with professional news outlet standards."
CH_01_BIZ_115.jpg,Real,Real,0.21,"The visual/template consistency, language quality, and factual plausibility align with professional news outlets' typical publishing style."
CH_01_BIZ_124.jpg,Real,Real,0.22,"The visual/template consistency, language quality, and factual plausibility align with professional news outlets' typical style."
CH_01_BIZ_127.jpg,Real,Real,0.22,"The visual/template consistency, language quality, and factual plausibility align with professional news outlets' typical style."
CH_01_BIZ_149.jpg,Real,Real,0.23,"The visual/template consistency, language quality, and factual plausibility all align with professional news outlet standards."
CH_01_BIZ_165.jpg,Real,Real,0.33,"The image appears to be from a professional news outlet, as indicated by the logo and branding in the top right corner. The text is written in standard Bangla editorial style, and there are no signs of digital editing or manipulation visible."
CH_01_CRM_006.jpg,Real,Real,0.18,"The visual/template consistency, language quality, and factual plausibility align with professional news outlets' typical style."
CH_01_CRM_022.jpg,Real,Real,0.27,"The visual/template consistency, language quality, and factual plausibility align with professional news outlets' typical style."
CH_01_CRM_085.jpg,Real,Real,0.3,"The visual/template consistency, language quality, and factual plausibility align with professional news outlets' typical publishing style."
CH_01_CRM_095.jpg,Real,Real,0.33,"The visual/template consistency, language quality, and factual plausibility align with professional news outlets' typical style."
CH_01_CRM_134.jpg,Real,Real,0.34,"The visual/template consistency, language quality, and factual plausibility all align with professional news outlet standards."
CH_01_CRM_158.jpg,Real,Real,0.17,"The visual/template consistency, language quality, and factual plausibility align with professional news outlets' typical publishing style."
CH_01_CRM_161.jpg,Real,Real,0.22,"The visual/template consistency, language quality, and factual plausibility align with professional news outlets' typical publishing style."
CH_01_CRM_181.jpg,Real,Real,0.28,"The visual/template consistency, language quality, and factual plausibility align with professional news outlets' typical style."
CH_01_DIS_101.jpg,Real,Real,0.26,"The visual/template consistency, language quality, and factual plausibility all align with professional news outlet standards."
CH_01_DIS_104.jpg,Real,Real,0.29,"The visual/template consistency, language quality, and factual plausibility align with professional news outlets' typical style."
CH_01_DIS_110.jpg,Real,Real,0.28,"The visual/template consistency, language quality, and factual plausibility align with professional news outlets' typical style."
CH_01_DIS_121.jpg,Real,Real,0.18,"The image appears to be a screenshot from Channel 24, as indicated by the logo and branding in the top right corner. The text is written in standard Bangla editorial style, and there are no visible signs of digital editing or manipulation."
CH_01_DIS_128.jpg,Real,Real,0.28,"The visual/template consistency, language quality, and factual plausibility align with professional news outlets' typical publishing style."
CH_01_DIS_136.jpg,Real,Real,0.18,"The image appears to be a screenshot from Channel 24, as indicated by the logo and branding in the top right corner. The text is written in standard Bangla editorial style, and there are no visible signs of digital editing or manipulation."
CH_01_DIS_173.jpg,Real,Real,0.16,"The visual/template consistency, language quality, and factual plausibility all align with professional news outlet standards."
CH_01_ENT_027.jpg,Real,Real,0.25,"The visual/template consistency, language quality, and factual plausibility all align with professional news outlet standards."
CH_01_ENT_088.jpg,Real,Real,0.17,"The visual/template consistency, language quality, and factual plausibility all align with professional news outlet standards."
CH_01_ENT_099.jpg,Real,Real,0.21,"The visual/template consistency, language quality, and factual plausibility all align with professional news outlet standards."
CH_01_ENT_135.jpg,Real,Real,0.17,"The visual/template consistency, language quality, and factual plausibility align with professional news outlets' typical style."
CH_01_ENT_147.jpg,Real,Real,0.16,"The visual/template consistency, language quality, and factual plausibility align with professional news outlets' typical style."
CH_01_ENT_159.jpg,Real,Real,0.26,"The visual/template consistency, language quality, and factual plausibility all align with professional news outlet standards."
CH_01_ENT_172.jpg,Real,Real,0.2,"The visual/template consistency, language quality, and factual plausibility all align with professional news outlet standards."
CH_01_HLT_004.jpg,Real,Real,0.32,"The visual/template consistency, language quality, and factual plausibility all align with professional news outlet standards."
CH_01_HLT_018.jpg,Real,Real,0.34,"The visual/template consistency, language quality, and factual/content plausibility all align with professional news outlet standards."
CH_01_HLT_034.jpg,Real,Real,0.22,"The visual/template consistency, language quality, and factual plausibility all align with professional news outlet standards."
CH_01_HLT_038.jpg,Real,Real,0.2,"The visual/template consistency, language quality, and factual plausibility all align with professional news outlet standards."
CH_01_HLT_094.jpg,Real,Real,0.17,"The visual/template consistency, language quality, and factual plausibility all align with professional news outlet standards."
CH_01_HLT_098.jpg,Real,Real,0.33,"The visual/template consistency, language quality, and factual plausibility align with professional news outlets' typical style."
CH_01_HLT_109.jpg,Real,Real,0.28,"The visual/template consistency, language quality, and factual plausibility all align with professional news outlet standards."
CH_01_HLT_113.jpg,Real,Real,0.19,"The visual/template consistency, language quality, and factual plausibility all align with professional news outlet standards."
CH_01_HLT_116.jpg,Real,Real,0.23,"The visual/template consistency, language quality, and factual plausibility all align with professional news outlet standards."
CH_01_HLT_138.jpg,Real,Real,0.27,"The visual/template consistency, language quality, and factual plausibility all align with professional news outlet standards."
CH_01_HLT_145.jpg,Real,Real,0.31,"The visual/template consistency, language quality, and factual plausibility all align with professional news outlet standards."
CH_01_HLT_150.jpg,Real,Real,0.16,"The visual/template consistency, language quality, and factual plausibility all align with professional news outlet standards."
CH_01_HLT_176.jpg,Real,Real,0.3,"The visual/template consistency, language quality, and factual plausibility all align with professional news outlet standards."
CH_01_HLT_182.jpg,Real,Real,0.29,"The visual/template consistency, language quality, and factual/content plausibility all align with professional news outlets' typical style."
CH_01_INT_036.jpg,Real,Real,0.28,"The visual/template consistency, language quality, and factual plausibility align with professional news outlets' typical publishing style."
CH_01_INT_048.jpg,Real,Fake,0.41,"The headline and image content appear to be unrelated, suggesting a fabricated news story. The date is also inconsistent with any known aviation incidents."
CH_01_INT_065.jpg,Real,Real,0.21,"The visual/template consistency, language quality, and factual plausibility align with professional news outlets' typical publishing style."
CH_01_INT_092.jpg,Real,Real,0.15,"The image appears to be from a professional news outlet, as indicated by the logo and branding on the podium. The text is written in standard Bangla editorial style without any obvious signs of digital manipulation or clickbait tone."
