image_name,actual,prediction,confidence,verification_case,reason,matched_url
CH_01_BIZ_071.jpg,Real,Real,0.24,confirmed,"The photocard matches Channel 24 branding and layout, and the SME entrepreneur funding report is confirmed on the claimed outlet's domain.",https://www.channel24bd.tv/economy/article/331428/%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A7%81%E0%A6%A6%E0%A7%8D%E0%A6%B0-%E0%A6%93-%E0%A6%AE%E0%A6%BE%E0%A6%9D%E0%A6%BE%E0%A6%B0%E0%A6%BF-%E0%A6%89%E0%A6%A6%E0%A7%8D%E0%A6%AF%E0%A7%8B%E0%A6%95%E0%A7%8D%E0%A6%A4%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B0-%E0%A6%9C%E0%A6%A8%E0%A7%8D%E0%A6%AF-%E0%A7%AB-%E0%A6%B9%E0%A6%BE%E0%A6%9C%E0%A6%BE%E0%A6%B0-%E0%A6%95%E0%A7%8B%E0%A6%9F%E0%A6%BF-%E0%A6%9F%E0%A6%BE%E0%A6%95%E0%A6%BE%E0%A6%B0-%E0%A6%A4%E0%A6%B9%E0%A6%AC%E0%A6%BF%E0%A6%B2-%E0%A6%8B%E0%A6%A3-%E0%A6%AE%E0%A6%BF%E0%A6%B2%E0%A6%AC%E0%A7%87-%E0%A7%AF-%E0%A6%B6%E0%A6%A4%E0%A6%BE%E0%A6%82%E0%A6%B6-%E0%A6%B8%E0%A7%81%E0%A6%A6%E0%A7%87
CH_01_BIZ_079.jpg,Real,Real,0.35,confirmed,"The photocard matches Channel 24 branding and layout, and the State Bank of India job circular is confirmed on the claimed outlet's domain.",https://www.channel24bd.tv/jobs/article/331888
CH_01_BIZ_111.jpg,Real,Real,0.76,confirmed,"The photocard matches Channel 24 branding and layout, and the onion price increase headline is confirmed on the claimed outlet's domain.",https://www.channel24bd.tv/economy/article/229775
CH_01_BIZ_115.jpg,Real,Fake,0.86,no_match_anywhere,"The photocard matches Channel 24 branding and layout, and the remittance report is confirmed on the claimed outlet's domain.",
CH_01_BIZ_124.jpg,Real,Real,0.64,confirmed,"The photocard matches Channel 24 branding and layout, and the NBR job circular is confirmed on the claimed outlet's domain.",https://www.channel24bd.tv/jobs/article/235811
CH_01_BIZ_127.jpg,Real,Real,0.67,confirmed,"The photocard matches Channel 24 branding and layout, and the gold price report in Pakistan is confirmed on the claimed outlet's domain.",https://www.channel24bd.tv/economy/article/241575
CH_01_BIZ_149.jpg,Real,Real,0.46,confirmed,"The photocard matches Channel 24 branding and layout, and the City Group recruitment notice is confirmed on the claimed outlet's domain.",https://www.channel24bd.tv/jobs/article/340006
CH_01_BIZ_165.jpg,Real,Fake,0.89,no_match_anywhere,"The photocard matches Channel 24 branding and layout, and the apparel worker wage report is confirmed on the claimed outlet's domain.",
CH_01_CRM_006.jpg,Real,Real,0.56,confirmed,"The photocard matches Channel 24 branding and layout, and the office burglary report is confirmed on the claimed outlet's domain.",https://www.channel24bd.tv/national/article/331975
CH_01_CRM_022.jpg,Real,Real,0.69,confirmed,"The photocard matches Channel 24 branding and layout, the headline regarding the arrest of a Shibir leader is valid on the claimed outlet.",https://www.channel24bd.tv/countries/article/332143
CH_01_CRM_085.jpg,Real,Fake,0.88,possible_misattribution,"The headline regarding the Dhaka Times journalist killed during clashes matches a genuine news event, but the story was published by other outlets rather than Channel 24 directly in this template format, pointing to source misattribution.",
CH_01_CRM_095.jpg,Real,Real,0.57,confirmed,"The photocard matches Channel 24 branding and layout, and the legal case headline regarding quota reform activists is confirmed on the claimed outlet's domain.",https://www.channel24bd.tv/campus/article/221581
CH_01_CRM_134.jpg,Real,Real,0.41,confirmed,"The photocard matches Channel 24 branding and layout, and the headline regarding the mysterious death of a former JKKIU student is confirmed on the claimed outlet's domain.",https://www.channel24bd.tv/countries/article/239631
CH_01_CRM_158.jpg,Real,Real,0.24,confirmed,"The photocard matches Channel 24 branding and layout, and the crime report regarding a body kept in a freezer for 8 months is confirmed on the claimed outlet's domain.",https://www.channel24bd.tv/countries/article/248133
CH_01_CRM_161.jpg,Real,Real,0.32,confirmed,"The photocard matches Channel 24 branding and layout, and the RUET student death report is confirmed on the claimed outlet's domain.",https://www.channel24bd.tv/countries/article/248135
CH_01_CRM_181.jpg,Real,Real,0.51,confirmed,"The photocard matches Channel 24 branding and layout, and the police statement regarding the Nafiz murder case is confirmed on the claimed outlet's domain.",https://www.channel24bd.tv/national/article/222165
CH_01_DIS_101.jpg,Real,Real,0.65,confirmed,"The photocard matches Channel 24 branding and layout, and the headline regarding cyclone Asna is confirmed on the claimed outlet's domain.",https://www.channel24bd.tv/natural-disasters/article/224531
CH_01_DIS_104.jpg,Real,Real,0.73,confirmed,"The photocard matches Channel 24 branding and layout, and the headline regarding the approach of cyclone Asna is confirmed on the claimed outlet's domain.",https://www.channel24bd.tv/natural-disasters/article/224525
CH_01_DIS_110.jpg,Real,Real,0.14,confirmed,"The photocard matches Channel 24 branding and layout, and the weather warning headline regarding 80 km/h winds is confirmed on Channel 24.",https://www.channel24bd.tv/bangladesh/article/229788
CH_01_DIS_121.jpg,Real,Real,0.55,confirmed,"The photocard matches Channel 24 branding and layout, and the headline concerning the flood impact on Teesta basin agriculture is confirmed on the claimed outlet's domain.",https://www.channel24bd.tv/economy/article/241571
CH_01_DIS_128.jpg,Real,Real,0.6,confirmed,"The photocard matches Channel 24 branding and layout, and the cyclone Dana impact headline is confirmed on the claimed outlet's domain.",https://www.channel24bd.tv/natural-disasters/article/241573
CH_01_DIS_136.jpg,Real,Real,0.8,confirmed,"The photocard matches Channel 24 branding and layout, and the winter temperature and weather report is confirmed on the claimed outlet's domain.",https://www.channel24bd.tv/natural-disasters/article/239636
CH_01_DIS_173.jpg,Real,Fake,0.88,no_match_anywhere,"The photocard matches Channel 24 branding and layout, but could not be verified on the claimed outlet's domain.",
CH_01_ENT_027.jpg,Real,Real,0.35,confirmed,"The photocard matches Channel 24 branding and layout, and the Hania Aamir serial headline is confirmed on the claimed outlet's domain.",https://www.channel24bd.tv/entertainment/article/332210
CH_01_ENT_088.jpg,Real,Real,0.63,confirmed,"The photocard matches Channel 24 branding and layout, and the Mehazabien quota movement appeal report is confirmed on the claimed outlet's domain.",https://www.channel24bd.tv/entertainment/article/216073
CH_01_ENT_099.jpg,Real,Real,0.43,confirmed,"The photocard matches Channel 24 branding and layout, and the entertainment report regarding Taniya and Aarsh Khan is confirmed on the claimed outlet's domain.",https://www.channel24bd.tv/entertainment/article/224528
CH_01_ENT_135.jpg,Real,Real,0.59,confirmed,"The photocard matches Channel 24 branding and layout, and the Apu Biswas statement regarding Shakib Khan's movie release is confirmed on the claimed outlet's domain.",https://www.channel24bd.tv/entertainment/article/239634
CH_01_ENT_147.jpg,Real,Real,0.65,confirmed,"The photocard matches Channel 24 branding and layout, and the Shah Rukh Khan family video viral report is confirmed on the claimed outlet's domain.",https://www.channel24bd.tv/entertainment/article/245102
CH_01_ENT_159.jpg,Real,Real,0.23,confirmed,"The photocard matches Channel 24 branding and layout, and the report regarding Ameesha Patel fainting on set is confirmed on the claimed outlet's domain.",https://www.channel24bd.tv/entertainment/article/248130
CH_01_ENT_172.jpg,Real,Real,0.61,confirmed,"The photocard matches Channel 24 branding and layout, and the news regarding Shabnur returning to Dhaka for 8 hours due to her mother's illness is confirmed on the claimed outlet's domain.",https://www.channel24bd.tv/entertainment/article/358120
CH_01_HLT_004.jpg,Real,Real,0.11,confirmed,"The photocard matches Channel 24 branding and layout, and the health report on eating garlic on an empty stomach is confirmed on the claimed outlet's domain.",https://www.channel24bd.tv/lifestyle/article/331489
CH_01_HLT_018.jpg,Real,Fake,0.89,no_match_anywhere,"The photocard matches Channel 24 branding and layout, but could not be verified on the claimed outlet's domain.",
CH_01_HLT_034.jpg,Real,Real,0.4,confirmed,"The photocard matches Channel 24 branding and layout, and the health report on stress and hormone balance is confirmed on the claimed outlet's domain.",https://www.channel24bd.tv/lifestyle/article/331492
CH_01_HLT_038.jpg,Real,Real,0.54,confirmed,"The photocard matches Channel 24 branding and layout, and the mouth ulcers health report is confirmed on the claimed outlet's domain.",https://www.channel24bd.tv/lifestyle/article/331390
CH_01_HLT_094.jpg,Real,Real,0.73,confirmed,"The photocard matches Channel 24 branding and layout, and the health risks report on reusing cooking oil is confirmed on the claimed outlet's domain.",https://www.channel24bd.tv/lifestyle/article/221518
CH_01_HLT_098.jpg,Real,Real,0.6,confirmed,"The photocard matches Channel 24 branding and layout, and the monkeypox outbreak report in Pakistan is confirmed on the claimed outlet's domain.",https://www.channel24bd.tv/international/article/227364
CH_01_HLT_109.jpg,Real,Fake,0.92,no_match_anywhere,"The photocard matches Channel 24 branding and layout, but could not be verified on the claimed outlet's domain.",
CH_01_HLT_113.jpg,Real,Real,0.28,confirmed,"The photocard matches Channel 24 branding and layout, and the health report on spicy food and lethargy is confirmed on the claimed outlet's domain.",https://www.channel24bd.tv/health/article/229700
CH_01_HLT_116.jpg,Real,Real,0.11,confirmed,"The photocard matches Channel 24 branding and layout, and the entertainment report regarding actress Sporshia is confirmed on the claimed outlet's domain.",https://www.channel24bd.tv/entertainment/article/229676
CH_01_HLT_138.jpg,Real,Real,0.51,confirmed,"The photocard matches Channel 24 branding and layout, and the brain health habits report is confirmed on the claimed outlet's domain.",https://www.channel24bd.tv/health/article/239638
CH_01_HLT_145.jpg,Real,Real,0.41,confirmed,"The photocard matches Channel 24 branding and layout, and the health report regarding declining eyesight and eye care is confirmed on the claimed outlet's domain.", https://www.channel24bd.tv/health/article/248137
CH_01_HLT_150.jpg,Real,Real,0.75,confirmed,"The photocard matches Channel 24 branding and layout, and the nutritional report regarding rice consumption and health impact is confirmed on the claimed outlet's domain.", https://www.channel24bd.tv/health/article/248141
CH_01_HLT_176.jpg,Real,Real,0.48,confirmed,"The photocard matches Channel 24 branding and layout, and the seasonal waterborne disease health advisory report is confirmed on the claimed outlet's domain.", https://www.channel24bd.tv/health/article/331889
CH_01_HLT_182.jpg,Real,Real,0.75,confirmed,"The photocard matches Channel 24 branding and layout, and the health report regarding protein-rich foods compared to eggs is confirmed on the claimed outlet's domain.",  https://www.channel24bd.tv/health/article/222168
CH_01_INT_036.jpg,Real,Real,0.51,confirmed,"The photocard matches Channel 24 branding and layout, and the international diplomatic report regarding the US and Israel is confirmed on the claimed outlet's domain.", https://www.channel24bd.tv/international/article/332192
CH_01_INT_048.jpg,Real,Real,0.68,confirmed,"The photocard matches Channel 24 branding and layout, and the US plane crash report with casualties is confirmed on the claimed outlet's domain.", https://www.channel24bd.tv/international/article/229780
CH_01_INT_065.jpg,Real,Real,0.49,confirmed,"The photocard matches Channel 24 branding and layout, and the report regarding Iranian leadership pardoning prisoners is confirmed on the claimed outlet's domain.", https://www.channel24bd.tv/international/article/331345
