image_id,actual,label,outlet_code,news_genre,confidence,headlines
CH_01_BIZ_071,Real,0,CH,BIZ,0.6032,ক্ষুদ্র ও মাঝারি উদ্যোক্তাদের জন্য বড় সুখবর
CH_01_BIZ_079,Real,0,CH,BIZ,0.5545,"চাকরির সুযোগ দিচ্ছে স্টেট ব্যাংক অব ইন্ডিয়া, আবেদন অনলাইনে"
CH_01_BIZ_111,Real,0,CH,BIZ,0.6131,"দুদিন আমদানি হয়নি পেঁয়াজ, দাম বেড়েছে কেজিতে ১০ টাকা"
CH_01_BIZ_115,Real,0,CH,BIZ,0.5542,"রেমিট্যান্স এলো ১৪ হাজার কোটি, যেসব ব্যাংকে আসেনি কোনো টাকা"
CH_01_BIZ_124,Real,0,CH,BIZ,0.5558,"জাতীয় রাজস্ব বোর্ডে বড় নিয়োগ, এইচএসসি পাসেও করা যাবে আবেদন"
CH_01_BIZ_127,Real,0,CH,BIZ,0.6515,নতুন রেকর্ড: পাকিস্তানে প্রতি তোলা স্বর্ণের দাম বেড়েছে ২ হাজার রুপি
CH_01_BIZ_149,Real,0,CH,BIZ,0.5881,"সিটি গ্রুপে নিয়োগ, এসএসসি পাসেই চাকরি"
CH_01_BIZ_165,Real,0,CH,BIZ,0.6843,পোশাকশ্রমিকদের বেতন-ভাতা পরিশোধ করা হয়েছে: বিজিএমইএ
CH_01_CRM_006,Real,0,CH,CRM,0.6105,"কার্যালয়ে মধ্যরাতে চুরি, পরিকল্পিত নাশকতা বলছেন অ্যাটর্নি জেনারেল"
CH_01_CRM_022,Real,0,CH,CRM,0.5161,ধর্ষণ ও ভ্রূণ নষ্টের মামলায় সেই শিবির নেতা জিসান গ্রেপ্তার
CH_01_CRM_085,Real,0,CH,CRM,0.7155,সংঘর্ষের সময় গুলিবিদ্ধ হয়ে ঢাকা টাইমসের সাংবাদিক নিহত
CH_01_CRM_095,Real,0,CH,CRM,0.7955,কোটা সংস্কার আন্দোলনকারী ১১২ জনের বিরুদ্ধে মামলা
CH_01_CRM_134,Real,0,CH,CRM,0.6361,কাজী নজরুল বিশ্ববিদ্যালয়ের সাবেক শিক্ষার্থীর মৃত্যু ঘিরে রহস্য
CH_01_CRM_158,Real,0,CH,CRM,0.5163,"তরুণীকে হত্যার পর মৃতদেহ ৮ মাস ধরে ফ্রিজে, যা জানাল পুলিশ"
CH_01_CRM_161,Real,0,CH,CRM,0.5238,"বিশ্ববিদ্যালয় ছাত্রাবাসে ঝুলছিল রুয়েট শিক্ষার্থীর মরদেহ, যা জানাল সহপাঠীরা"
CH_01_CRM_181,Real,0,CH,CRM,0.5738,শহিদ নাফিজ হত্যাকাণ্ডে এডিসি তোয়াছির জড়িত নয়: পুলিশ
CH_01_DIS_101,Real,0,CH,DIS,0.5932,২৪ ঘণ্টার মধ্যে উপকূলে আছড়ে পড়বে ঘূর্ণিঝড় 'আসনা'
CH_01_DIS_104,Real,0,CH,DIS,0.594,ধেয়ে আসছে ঘূর্ণিঝড় 'আসনা'
CH_01_DIS_110,Real,0,CH,DIS,0.6121,রাতের মধ্যে ৮০ কিমি. বেগে ঝড় হতে পারে যে ১৫ জেলায়
CH_01_DIS_121,Real,0,CH,DIS,0.5607,বন্যায় বিপর্যস্ত তিস্তা পাড়ের কৃষি
CH_01_DIS_128,Real,0,CH,DIS,0.5796,প্রবল ঘূর্ণিঝড় দানার 'চোখ' থেকে বাংলাদেশের মূল ভূখণ্ডের দূরত্ব যেভাবে প্রভাব ফেলবে
CH_01_DIS_136,Real,0,CH,DIS,0.5628,"দেশের সর্বনিম্ন তাপমাত্রা যেখানে, তীব্র শীত নিয়ে যা জানাল আবহাওয়া অফিস"
CH_01_DIS_173,Real,0,CH,DIS,0.5537,বঙ্গোপসাগরে লঘুচাপ: যা জানালো আবহাওয়া অধিদপ্তর
CH_01_ENT_027,Real,0,CH,ENT,0.511,"হানিয়া আমিরের নতুন সিরিয়াল আসছে, কার সঙ্গে জুটি গড়ছেন অভিনেত্রী"
CH_01_ENT_088,Real,0,CH,ENT,0.6759,কোটা আন্দোলনের সমাধান চেয়ে মেহজাবীনের আকুল আবেদন
CH_01_ENT_099,Real,0,CH,ENT,0.6615,"তানিয়া বললেন 'ভাই-ব্রাদার টাইপ ফ্রেন্ড ছিলাম', আরশ খান দিলেন ভিন্ন ইঙ্গিত"
CH_01_ENT_135,Real,0,CH,ENT,0.5818,"উৎসব ছাড়াই মুক্তি পেলো শাকিবের সিনেমা, যা বলছেন অপু বিশ্বাস"
CH_01_ENT_147,Real,0,CH,ENT,0.5727,"শাহরুখের পরিবারে নতুন সদস্য, নেটদুনিয়ায় ভিডিও ভাইরাল"
CH_01_ENT_159,Real,0,CH,ENT,0.5982,"শুটিং সেটে চার ঘণ্টা অজ্ঞান বলিউড অভিনেত্রী আমিশা, যা ঘটেছে তার সঙ্গে"
CH_01_ENT_172,Real,0,CH,ENT,0.5089,"মাত্র ৮ ঘণ্টার জন্য ঢাকায় শাবনূর, কী হয়েছে অভিনেত্রীর সঙ্গে"
CH_01_HLT_004,Real,0,CH,HLT,0.5339,প্রতিদিন খালি পেটে রসুন খাওয়া কি উপকারী? খেলে শরীরে কী পরিবর্তন ঘটে
CH_01_HLT_018,Real,0,CH,HLT,0.5253,মাথায় আঘাতের পর যেসব লক্ষণ দেখলে দ্রুত চিকিৎসকের কাছে যেতে হবে
CH_01_HLT_034,Real,0,CH,HLT,0.5552,মানসিক চাপ আর হরমোনের ভারসাম্য ঠিক রাখতে পুষ্টিবিদের পরামর্শ
CH_01_HLT_038,Real,0,CH,HLT,0.5136,"মুখে ঘা হয় কেন, এটি কি কোনো ভয়াবহ রোগের ইঙ্গিত? চিকিৎসকের পরামর্শ"
CH_01_HLT_094,Real,0,CH,HLT,0.6643,একই তেলে বার বার রান্না করলে যেসব স্বাস্থ্যঝুঁকি তৈরি হয়
CH_01_HLT_098,Real,0,CH,HLT,0.5859,পাকিস্তানে বাড়ছে মাঙ্কিপক্সে আক্রান্তের সংখ্যা
CH_01_HLT_109,Real,0,CH,HLT,0.6424,"কম বয়সীদের কেন স্ট্রোক হয়, প্রতিরোধে করণীয় কী, জানালেন চিকিৎসক"
CH_01_HLT_113,Real,0,CH,HLT,0.7275,"মসলাযুক্ত ঝাল খাবার থেকে কি আলসার হয়, যা বলছেন চিকিৎসক"
CH_01_HLT_116,Real,0,CH,HLT,0.5877,বয়কট ও অপছন্দ হওয়ার কারণ জানালেন অভিনেত্রী স্পর্শিয়া
CH_01_HLT_138,Real,0,CH,HLT,0.6376,যেসব অভ্যাস নীরবে মস্তিষ্কের ভয়াবহ ক্ষতি করে
CH_01_HLT_145,Real,0,CH,HLT,0.5427,বয়স বাড়ার সঙ্গে সঙ্গে দৃষ্টিশক্তি কমছে? চোখ ভালো রাখতে করণীয়
CH_01_HLT_150,Real,0,CH,HLT,0.5747,ভাত খেলে কি আসলেই স্বাস্থ্য বাড়ে
CH_01_HLT_176,Real,0,CH,HLT,0.5979,"বর্ষায় পানিবাহিত রোগের শঙ্কা, সুস্থ থাকতে করণীয় জানালেন পুষ্টিবিদ"
CH_01_HLT_182,Real,0,CH,HLT,0.5847,৫টি খাবার ডিমের থেকে বেশি প্রোটিন সমৃদ্ধ
CH_01_INT_036,Real,0,CH,INT,0.536,ইসরায়েল ছাড়া যুক্তরাষ্ট্রের কোনও অস্তিত্ব নেই: মার্কিন রাষ্ট্রদূত
CH_01_INT_048,Real,0,CH,INT,0.5824,যুক্তরাষ্ট্রে বিমান বিধ্বস্ত হয়ে সব আরোহী নিহত
CH_01_INT_065,Real,0,CH,INT,0.5063,দুই হাজার বন্দিকে ক্ষমা করলেন ইরানের সর্বোচ্চ নেতা মোজতবা খামেনি
CH_01_INT_092,Real,0,CH,INT,0.6626,"কোটা আন্দোলনে নজর রাখছে যুক্তরাষ্ট্র, ছাত্রলীগ ইস্যুতে যা জানাল"
