image_name,actual,prediction,confidence,reason
CH_01_BIZ_071.jpg,Real,Fake,0.52,"The date displayed at the bottom left ('০৮ জুন ২০২৬') is set in the future (June 2026), making this internal consistency and factual plausibility impossible for a current news photocard."
CH_01_BIZ_079.jpg,Real,Fake,0.5,"The photocard shows anomalies in visual template consistency and font rendering typical of fabricated social media cards, while featuring generic clickbait phrasing."
CH_01_BIZ_111.jpg,Real,Real,0.21,"The photocard shows consistent visual branding for Channel 24, professional typography, and plausible news reporting style regarding onion import prices."
CH_01_BIZ_115.jpg,Real,Real,0.29,"The visual template, logo placement, and typography accurately match the standard style of Channel 24, and the text adheres to professional Bangla editorial standards."
CH_01_BIZ_124.jpg,Real,Real,0.22,"The outlet branding for Channel 24 matches established visual standards, and the Bangla text maintains professional editorial style across the headline and date elements."
CH_01_BIZ_127.jpg,Real,Fake,0.48,"The photocard exhibits issues in the visual/template consistency dimension, with awkward text overlays and formatting atypical of a professional news outlet like Channel 24."
CH_01_BIZ_149.jpg,Real,Fake,0.58,"The language quality and phrasing (such as 'এসএসসি পাসেই চাকরি') reflect typical clickbait styles seen in fabricated job circular photocards, inconsistent with standard professional news reporting."
CH_01_BIZ_165.jpg,Real,Fake,0.41,"The date '২৮ মার্চ ২০২৫' in the photocard refers to a future date relative to current known timelines, and the template quality and typography show inconsistencies typical of fabricated social media cards."
CH_01_CRM_006.jpg,Real,Fake,0.5,"The date shown is '১২ জুন ২০২৬' (June 12, 2026), which is in the future, revealing an anachronistic internal inconsistency and fabrication."
CH_01_CRM_022.jpg,Real,Fake,0.49,"The date shown at the bottom left is '১৪ জুন ২০২৬' (June 14, 2026), which is in the future, indicating that the photocard has been fabricated."
CH_01_CRM_085.jpg,Real,Real,0.33,"The outlet identity, visual template consistency, language quality, and internal context of the news photocard align accurately with real reporting standards from Channel 24 regarding the incident."
CH_01_CRM_095.jpg,Real,Real,0.35,"The outlet identity and logo match Channel 24, and the text, layout, and visual template are consistent with professional broadcasting standards."
CH_01_CRM_134.jpg,Real,Real,0.31,"The photocard displays authentic branding from Channel 24, with consistent visual template elements, professional Bangla typography, and plausible news reporting style."
CH_01_CRM_158.jpg,Real,Real,0.3,"The outlet identity, logo branding, and visual template are consistent with Channel 24's standard digital publishing style, while the Bangla text is written in a professional editorial tone without broken conjuncts."
CH_01_CRM_161.jpg,Real,Real,0.29,"The outlet identity, branding, and typography match the recognized style of Channel 24, and the language quality in the headline and date is consistent with standard Bangladeshi broadcast news photocards."
CH_01_CRM_181.jpg,Real,Fake,0.4,"The date listed at the bottom is '৩১ জুলাই ২০২৫' (July 31, 2025), which is in the future relative to the current timeframe, indicating fabrication."
CH_01_DIS_101.jpg,Real,Fake,0.44,"The language quality dimension strongly influences this verdict, as the phrasing contains clickbait characteristics and sensationalist styling uncommon for professional news outlets like Channel 24."
